subject,roi,mean,std,median,min,max,skew,kurtosis
sub-020P,salience,4.384533944371338,4.244811435211747,3.3363287973,0.0003045747,36.6589984906,3.472849205860075,20.480710689739073
sub-020P,visual,4.5555966618853505,5.641084505820763,2.7317243218,0.0003141669,40.567572191,3.3253954858932535,14.147846297546067
sub-031P,auditory,3.818188595573885,4.632744847695409,3.0367471411,0.0001414309,51.2777896304,7.10874710941283,67.98403837723816
sub-031P,dmn,4.5249341160076435,4.871784099777515,2.8644216633,0.0002575078,29.3547745416,2.241606383175515,5.956610400385308
sub-031P,fpn,3.643133901930573,3.7895441795955804,2.5373886422,0.0004528467,26.0639511469,2.9402700346655015,12.01379311638332
sub-031P,limbic,4.011933808263694,2.590779804265374,3.7428322275,0.0009819133,14.3496056439,1.041243941568681,2.1944025113232337
sub-031P,motor,3.6849171126757962,3.2794917882825336,3.0107063135,0.0016891486,24.5452066094,2.708313807300688,11.894711521353425
sub-031P,salience,3.8497640601751595,3.4694571009309043,3.2518527642,1.54016e-05,23.8892408806,2.817812831116233,11.170456807756612
sub-031P,visual,3.8317259501745213,7.523060365516258,2.521815495,0.0015174181,88.5606612564,9.308602881713082,99.99363194514733
sub-032P,auditory,3.1019882926324835,2.852761386028425,2.6598012057,0.0005693953,26.0344438634,3.992901204702441,26.213414043214218
sub-032P,dmn,3.580870754633758,3.276129014088446,2.7458743143,0.0002355935,18.8038435536,1.9970205850109606,4.748971955817799
sub-032P,fpn,4.003204134676433,4.137744929833817,2.7869012386,0.0002089053,22.6932345925,2.3206888468326903,5.959599322965495
sub-032P,limbic,3.74413967211465,2.643838500824116,3.2161179485,0.0008035898,14.7567321946,1.2828237388036063,2.342873015497731
sub-032P,motor,3.817844154612739,6.580758720692898,2.403354456,0.0001114486,66.9107052663,6.662994008286127,55.63507293836877
sub-032P,salience,3.605269701224841,2.5355563203985145,3.2060190741,0.0002590217,18.8225920781,1.7865297675706544,7.25883016369192
sub-032P,visual,3.6429099319554137,11.532826989135271,1.3542318654,0.0002006062,123.6221330475,8.213953169472694,76.41138887024347
sub-033P,auditory,3.542746804449681,2.4189986091179105,3.1233902428,0.0004685901,13.4062125106,0.8229578383757162,0.8010395359662534
sub-033P,dmn,2.9577826744624205,2.3358272604759307,2.6048501347,0.0011481609,17.6166810661,2.563192517158838,11.646000121909982
sub-033P,fpn,3.2058123596541397,2.277939627718175,2.9598829038,0.00058065,14.7232020764,1.5842753179825173,4.735778356419378
sub-033P,limbic,3.0806755495617835,2.505554401753469,2.4274424147,0.0003342005,11.713325587,1.2756523281326198,1.4299116386408688
sub-033P,motor,3.2564055920242043,2.7724437224502214,2.3593217032,0.0003648753,13.3693211628,1.2062374861152538,1.095007829610525
sub-033P,salience,3.56585695544586,2.5315317530037453,3.0132392464,0.0004464059,12.5743757177,1.1106971822698186,1.3931240356563155
sub-033P,visual,2.423620464043312,1.8132397170639816,1.9564512359,0.000222109,9.4337501041,1.1020886934375325,1.2020774089943354
sub-037P,auditory,4.221425951856689,3.420811615945735,3.1622324535,0.0009576072,17.9780730619,1.2444171940141666,1.5757469514684193
sub-037P,dmn,3.358048600490446,2.296263688858799,2.751060856,0.0014564299,12.1865703853,1.0552571809287645,1.113944832188949
sub-037P,fpn,3.0834480561522293,2.6386473343851407,2.3796362393,0.000668064,11.6748219879,1.4049089547862028,1.6560274582502332
sub-037P,limbic,4.521764241380255,3.1923699918745143,4.1092770001,0.0004931808,18.2810286158,1.2972456998500679,2.7364696670309563
sub-037P,motor,3.4405582914484074,3.0935488494319157,2.8054751506,0.000192631,17.6991657351,2.2347797735687562,6.486898577285759
sub-037P,salience,3.6065498903547777,2.855318372582342,3.0022017546,0.0001042119,13.8005096852,1.293926863716482,1.7364356146496718
sub-037P,visual,3.8991731858585985,6.808095855425317,2.5656339425,0.0002294153,60.9397464339,6.543656638851263,48.474644647176014
sub-042P,auditory,4.097544995406369,3.113061006620017,3.4156129709,0.0005065965,17.7709922426,1.5767225948896915,3.2332378091503653
sub-042P,dmn,3.888010365680255,5.716231353552382,2.3364302752,0.0001687721,43.7355061198,4.531481217842492,23.793508842127707
