,,ACW_50,ACW_0,ACW_Nadir
sub-041P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 6.0]","[4.0, 4.0, 8.0, 10.0]"
sub-043P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 6.0, 6.0, 4.0]","[4.0, 6.0, 8.0, 4.0]"
sub-043P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 4.0, 4.0, 8.0, 8.0, 4.0, 12.0, 12.0, 12.0]","[8.0, 4.0, 6.0, 6.0, 8.0, 8.0, 6.0, 4.0, 4.0, 4.0]"
sub-043P,motor,"[2.0, 2.0, 2.0, 2.0]","[4.0, 6.0, 4.0, 4.0]","[4.0, 8.0, 4.0, 4.0]"
sub-043P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 6.0, 8.0, 8.0, 6.0]","[6.0, 6.0, 8.0, 8.0, 8.0, 8.0]"
sub-043P,fpn,"[2.0, 2.0, 2.0, 4.0]","[4.0, 12.0, 12.0, 10.0]","[4.0, 4.0, 8.0, 12.0]"
sub-043P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 4.0, 4.0]","[4.0, 4.0, 6.0, 4.0]"
sub-043P,limbic,"[2.0, 2.0, 2.0, 2.0]","[6.0, 2.0, 12.0, 2.0]","[8.0, 2.0, 8.0, 2.0]"
sub-045P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 8.0, 8.0]","[4.0, 8.0, 4.0, 4.0]"
sub-045P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 4.0, 2.0, 8.0, 8.0, 4.0, 2.0, 4.0, 4.0]","[8.0, 8.0, 4.0, 2.0, 8.0, 8.0, 6.0, 4.0, 8.0, 4.0]"
sub-045P,motor,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-045P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
sub-045P,fpn,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 2.0, 4.0]","[6.0, 4.0, 2.0, 8.0]"
sub-045P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 4.0, 2.0]","[4.0, 4.0, 8.0, 4.0]"
sub-045P,limbic,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 2.0]","[12.0, 4.0, 8.0, 2.0]"
sub-047P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 12.0]","[4.0, 6.0, 6.0, 6.0]"
sub-047P,visual,"[4.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[10.0, 8.0, 8.0, 8.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0]","[12.0, 12.0, 8.0, 14.0, 12.0, 12.0, 12.0, 8.0, 4.0, 8.0]"
sub-047P,motor,"[2.0, 2.0, 2.0, 2.0]","[8.0, 12.0, 8.0, 6.0]","[8.0, 8.0, 8.0, 6.0]"
sub-047P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 8.0, 8.0, 8.0, 8.0]","[4.0, 4.0, 12.0, 8.0, 8.0, 12.0]"
sub-047P,fpn,"[2.0, 2.0, 2.0, 2.0]","[8.0, 10.0, 10.0, 8.0]","[8.0, 4.0, 4.0, 12.0]"
sub-047P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 2.0]","[4.0, 4.0, 4.0, 4.0]"
sub-047P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-049P,auditory,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 6.0]","[2.0, 2.0, 2.0, 8.0]"
sub-049P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 6.0, 6.0, 8.0, 8.0, 8.0, 10.0, 8.0, 8.0]","[12.0, 12.0, 8.0, 8.0, 12.0, 12.0, 8.0, 12.0, 12.0, 12.0]"
sub-049P,motor,"[2.0, 2.0, 2.0, 2.0]","[10.0, 6.0, 8.0, 2.0]","[16.0, 8.0, 8.0, 8.0]"
sub-049P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 6.0, 6.0, 6.0, 8.0]","[8.0, 8.0, 10.0, 10.0, 8.0, 12.0]"
sub-049P,fpn,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 10.0]","[8.0, 8.0, 8.0, 12.0]"
sub-049P,salience,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 4.0, 4.0]","[4.0, 2.0, 4.0, 4.0]"
