,,ACW_50,ACW_0,ACW_Nadir
sub-014P,limbic,"[2.0, 2.0, 2.0, 2.0]","[12.0, 8.0, 4.0, 12.0]","[8.0, 8.0, 4.0, 4.0]"
sub-020P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 8.0]","[4.0, 4.0, 4.0, 8.0]"
sub-020P,visual,"[4.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 6.0, 6.0, 6.0, 10.0, 16.0, 4.0, 12.0, 12.0]","[12.0, 12.0, 8.0, 8.0, 8.0, 10.0, 20.0, 4.0, 4.0, 4.0]"
sub-020P,motor,"[2.0, 2.0, 2.0, 2.0]","[10.0, 8.0, 6.0, 8.0]","[4.0, 8.0, 6.0, 8.0]"
sub-020P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0]","[4.0, 4.0, 12.0, 12.0, 6.0, 12.0]","[4.0, 4.0, 8.0, 16.0, 8.0, 12.0]"
sub-020P,fpn,"[2.0, 2.0, 2.0, 4.0]","[4.0, 8.0, 12.0, 8.0]","[4.0, 4.0, 12.0, 8.0]"
sub-020P,salience,"[2.0, 2.0, 2.0, 2.0]","[12.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-020P,limbic,"[2.0, 2.0, 2.0, 2.0]","[10.0, 16.0, 12.0, 14.0]","[4.0, 4.0, 4.0, 6.0]"
sub-031P,auditory,"[2.0, 2.0, 2.0, 2.0]","[8.0, 12.0, 12.0, 12.0]","[4.0, 6.0, 4.0, 6.0]"
sub-031P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[12.0, 12.0, 4.0, 8.0, 8.0, 4.0, 12.0, 12.0, 12.0, 10.0]","[16.0, 16.0, 6.0, 4.0, 8.0, 4.0, 16.0, 16.0, 16.0, 4.0]"
sub-031P,motor,"[2.0, 2.0, 2.0, 2.0]","[8.0, 12.0, 6.0, 4.0]","[8.0, 4.0, 8.0, 4.0]"
sub-031P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 6.0, 6.0, 6.0, 6.0]","[12.0, 12.0, 6.0, 6.0, 6.0, 8.0]"
sub-031P,fpn,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 8.0]","[4.0, 8.0, 16.0, 8.0]"
sub-031P,salience,"[2.0, 2.0, 2.0, 2.0]","[8.0, 12.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-031P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 4.0, 8.0]","[4.0, 4.0, 8.0, 4.0]"
sub-032P,auditory,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 8.0]","[2.0, 2.0, 4.0, 4.0]"
sub-032P,visual,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 2.0, 2.0, 4.0, 2.0]","[12.0, 12.0, 10.0, 10.0, 10.0, 12.0, 8.0, 8.0, 12.0, 12.0]","[20.0, 20.0, 20.0, 20.0, 16.0, 16.0, 12.0, 16.0, 20.0, 12.0]"
sub-032P,motor,"[2.0, 2.0, 2.0, 2.0]","[10.0, 8.0, 12.0, 8.0]","[4.0, 16.0, 14.0, 4.0]"
sub-032P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 6.0, 10.0, 8.0, 12.0]","[8.0, 4.0, 12.0, 4.0, 12.0, 6.0]"
sub-032P,fpn,"[2.0, 2.0, 2.0, 4.0]","[8.0, 10.0, 8.0, 12.0]","[4.0, 4.0, 8.0, 12.0]"
