,,ACW_50,ACW_0,ACW_Nadir
sub-019C,dmn,"[4.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 4.0, 8.0, 8.0]","[12.0, 8.0, 4.0, 4.0, 12.0, 12.0]"
sub-019C,fpn,"[2.0, 2.0, 2.0, 2.0]","[6.0, 12.0, 6.0, 8.0]","[8.0, 8.0, 8.0, 12.0]"
sub-019C,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-019C,limbic,"[2.0, 2.0, 2.0, 2.0]","[8.0, 2.0, 4.0, 8.0]","[4.0, 2.0, 4.0, 4.0]"
sub-020C,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 4.0]","[4.0, 8.0, 4.0, 4.0]"
sub-020C,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[12.0, 10.0, 10.0, 4.0, 12.0, 10.0, 10.0, 10.0, 10.0, 4.0]","[4.0, 4.0, 12.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
sub-020C,motor,"[2.0, 2.0, 2.0, 2.0]","[4.0, 10.0, 12.0, 12.0]","[4.0, 4.0, 4.0, 4.0]"
sub-020C,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[4.0, 10.0, 6.0, 4.0, 6.0, 4.0]","[4.0, 12.0, 6.0, 10.0, 16.0, 8.0]"
sub-020C,fpn,"[2.0, 2.0, 2.0, 2.0]","[4.0, 12.0, 8.0, 10.0]","[4.0, 6.0, 4.0, 4.0]"
sub-020C,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-020C,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 6.0]","[4.0, 4.0, 4.0, 8.0]"
